patent_id	appyear
5267196	1992
5267213	1992
5267218	1992
5268320	1992
5270256	1991
5270264	1992
5271020	1990
5271908	1992
5274277	1992
5274278	1991
5274281	1992
5274337	1992
5274678	1991
5274826	1993
5274834	1991
5276650	1992
5276690	1992
5276847	1992
5276858	1991
5276888	1992
5278105	1992
5278467	1992
5278902	1992
5278964	1993
5280198	1992
5280447	1992
5280571	1992
5280605	1992
5281863	1992
5282140	1992
5282176	1992
5282272	1993
5283645	1992
5283874	1991
5283904	1993
5285017	1991
5285402	1991
5286678	1992
5287401	1993
5289026	1991
5289035	1992
5289054	1992
5289337	1992
5289412	1992
5289458	1992
5290735	1993
5291071	1992
5291604	1991
5293230	1993
5293592	1993
5293603	1991
5295113	1991
5296094	1992
5298807	1991
5300379	1992
5300461	1993
5300829	1992
5301097	1992
5301139	1992
5301141	1992
5301150	1992
5301151	1993
5301161	1993
5301272	1992
5301298	1991
5301299	1993
5301342	1990
5302477	1992
5302865	1993
5303002	1993
5304869	1992
5304872	1992
5305103	1993
5306667	1993
5306963	1992
5306964	1993
5307012	1993
5307240	1992
5307301	1993
5307320	1992
5307381	1991
5309012	1992
5309046	1992
5310039	1992
5311462	1991
5313586	1992
5313605	1990
5317202	1992
5317307	1992
5317531	1992
5317535	1992
5317564	1992
5317712	1991
5317750	1992
5319751	1991
5321583	1992
5321836	1990
5325124	1992
5325126	1992
5325490	1991
5325496	1991
5325526	1992
5326723	1992
5327369	1993
5327383	1992
5329275	1993
5329313	1993
5329318	1993
5329491	1993
