patent_id	inventor_id
5175853	6188392-1
5175853	5359723-2
5175853	5175853-7
5175853	6075379-3
5177745	5136544-1
5180988	6891488-1
5182746	4627050-6
5182746	5182746-2
5182746	5182746-3
5183795	4654958-3
5183795	5166556-1
5185872	4811208-5
5185872	5023844-1
5185872	5023844-3
5187392	5386155-2
5187793	7320105-2
5187793	5778207-1
5187793	4785349-2
5187793	5187793-1
5187793	5187793-5
5187865	5187865-1
5189319	5148052-1
5189319	5189319-2
5189636	4544911-2
5189636	4783698-1
5189636	5778207-1
5189636	4823201-2
5190887	4806202-4
5190887	4992980-3
5191649	5191649-1
5191649	5191649-2
5191649	5191649-3
5191649	5694555-5
5194824	5194824-1
5194824	5884102-2
5195051	5195051-1
5196064	5196064-1
5196064	5196064-2
5196361	4728617-2
5196361	5196361-2
5197034	5053990-3
5197034	5159672-1
5197034	5197034-2
5199001	4964080-1
5201043	4972338-1
5201043	5201043-1
5202291	5202291-1
5202291	5202291-2
5202590	5202590-1
5202590	7852252-4
5204828	4366536-1
5204953	5201043-1
5207586	5207586-1
5207586	5207586-2
5210845	4257095-1
5210845	4972338-1
5210845	5724547-2
5210939	4771018-1
5210939	4835120-2
5212910	4505026-1
5212910	5212910-2
5212910	5212910-3
5212910	5212910-4
5214567	6421236-3
5214567	5214567-2
5216289	5892377-2
5216289	5170073-2
5216289	5216289-2
5216385	6891488-1
5216843	5212910-4
5216843	5216843-1
5216843	5216843-3
5219791	5104819-3
5220528	4963825-1
5221867	5107523-1
5221867	5274678-1
5222046	5463757-4
5222046	4841482-2
5222046	5053990-1
5222046	5249158-1
5222046	5053990-3
5222046	4975883-3
5222193	5222193-1
5222193	5222193-2
5222193	5222193-3
5222193	5222193-4
5222193	5222193-5
5222240	5073891-1
5222244	5023844-1
5222244	5630083-3
5224070	5053990-3
5224070	5197034-2
5224070	5159672-1
5225904	3955353-1
5225904	5778207-1
5225904	4785349-2
5225904	4785349-3
5226127	5226127-1
5226127	5226127-2
5227657	6903598-1
5228134	4570220-4
5228134	4785396-4
5228134	5228134-2
5229311	4372808-1
5229311	4806202-3
5229311	4806202-4
5229311	4957877-2
5229311	5229311-5
5229631	4728617-2
5231053	5231053-1
5231053	5231053-2
5231053	5231053-3
5231053	5231053-4
5231053	5231053-5
5232871	5175126-1
5233559	5233559-1
5233562	4992980-3
5233562	5196361-2
5233562	5233562-2
5235533	5235533-1
5235543	6449327-1
5235549	4316106-2
5235549	5235549-2
5237210	7923237-1
5237535	4992980-3
5237535	4963825-1
5237535	5572702-3
5239498	6650695-1
